name,views,description,img_alt,video_link,warn_info
adidas,29.7K,"Scoring goals at 6, and sitting front row at the runway at 8. we got you 😉 ","Scoring goals at 6, and sitting front row at the runway at 8. we got you 😉 #Arsenal #arsenalwomen #football #stellamccartney  created by adidas with Official Sound Studio's The Lost Stray Dog",/@adidas/video/7283893698520255776,
adidas,44.8K,Tigist 🤝 Pro Evo 1 ,Tigist 🤝 Pro Evo 1 #worldrecord #berlinmarathon #tigistassefa #adidas  created by adidas with King Flexx's Born to Be the Greatest,/@adidas/video/7283145999672003872,
adidas,32.6K,Berlin marathon fit check🔥 ,Berlin marathon fit check🔥 #outfitinspo #runningoutfit #berlinmarathon2023 #outfitcheck #adidas  created by adidas with sped up sounds's pink and white frank ocean,/@adidas/video/7282805847233776928,
adidas,35.6K,cooking up some beats w/,cooking up some beats w/@Sølv 🔥 #beatmakers #vibetok #beatschallenge #adidas  created by adidas with adidas's original sound,/@adidas/video/7281301346244988193,
adidas,33.2K,The Roman’s really wore these shoes🏛️ ,The Roman’s really wore these shoes🏛️ #romanempire #romanempiretrend #ilovethisquestion #golf #golftiktok #adidas  created by adidas with Elsie Silver's original sound,/@adidas/video/7280947057219751201,
adidas,69.9K,who’s up next? 🏉 ,who’s up next? 🏉 #keepyuppychallenge #rugby #footballtiktok #arsenal #allblacks  created by adidas with adidas's original sound,/@adidas/video/7280182987499654432,
adidas,97.9K,Question of the day : What does a dolphin even do? 🐬 🤔 ,Question of the day : What does a dolphin even do? 🐬 🤔 #manchesterunited #celebration #footballtiktok #soccer  created by adidas with adidas's original sound,/@adidas/video/7279051967723212064,
adidas,38K,can we go back? ⏪️ ,can we go back? ⏪️ #tennis #usopen #dominicthiem #missrabbithasfainted #adidas  created by adidas with 💋.'s original sound,/@adidas/video/7278698747230440737,
adidas,38.6K,rate my gym ootd✨,rate my gym ootd✨ #gymoutfitoftheday #ootd #girlswholift #adidas created by adidas with JÆ's family affair,/@adidas/video/7278325416148995361,
adidas,31.5K,King Push 🤝 Arsenal ,King Push 🤝 Arsenal #kingpush #arsenal #pushat #arsenaljersey #adidas  created by adidas with Meno Felps's 09.08 lançamento,/@adidas/video/7277953847182560545,
adidas,45.1K,bumping into the All Blacks on match day 😏 ,bumping into the All Blacks on match day 😏 #allblacks  #adidas #rugby #rugbyworld  created by adidas with Kodoku's So Fine,/@adidas/video/7276465193079655712,
adidas,97.5K,back to school ⚽️ ,back to school ⚽️ #ousmanedembele #footballboot #adidas  created by adidas with adidas's original sound,/@adidas/video/7276369424423111968,
adidas,103.2K,"Veni, Vidi, Kolo-Muani 👑 ","Veni, Vidi, Kolo-Muani 👑 #KoloMuani #paris #adidas  created by adidas with Meno Felps's 09.08 lançamento",/@adidas/video/7274195748319710497,
adidas,38.7K,your new phone background 🎾🗽,your new phone background 🎾🗽#tennis #elinasvitolina #usopen #adidas  created by adidas with •zene__idézetek•'s eredeti hang,/@adidas/video/7273867158868839713,
adidas,32.6K,les mills workouts got us like 🥵 ,les mills workouts got us like 🥵 #lesmills #workout #training #adidas  created by adidas with adidas's original sound,/@adidas/video/7273131687796657440,
adidas,2.1M,Jude ya es casi español 🇪🇸 ,Jude ya es casi español 🇪🇸 #judebellingham #realmadrid #madridistas #españa #adidas  created by adidas with adidas's original sound,/@adidas/video/7271262658425326880,
adidas,39.2K,Super Saiyan for the 200m🤞 ,Super Saiyan for the 200m🤞 @Noah Lyles #track #athletics  #200m #running  created by adidas with Mardyny's GameDay - Radio Edit,/@adidas/video/7271202030511754529,
adidas,38.6K,wait for the last one 👀 ,wait for the last one 👀 #athletics #challenge #adidas #running  created by adidas with Eitan Epstein Music's The Funny Bassoon,/@adidas/video/7270894007813721377,
adidas,45.1K,nailed it 😉 ,nailed it 😉 #nails #nailart #nailartist #nailinspo # #adidas  created by adidas with Shiloh Dynasty & LofiCentral's So Low,/@adidas/video/7270517425903373600,
adidas,73.2K,grant holloway making magic 🪄,grant holloway making magic 🪄#athletics #worldchamps #grantholloway #hurdles #running  created by adidas with Meno Felps's 09.08 lançamento,/@adidas/video/7270219143490637088,
adidas,311.5K,Introducing the new official match balls ,Introducing the new official match balls #UWCL #UCL #football #championsleague #adidas  created by adidas with adidas's original sound,/@adidas/video/7270176332997250336,
adidas,1.3M,No se la han quitado desde el domingo ,No se la han quitado desde el domingo @Selección española #FIFAWWC #WWCTikTok #adidas  created by adidas with adidas's original sound,/@adidas/video/7270127374841204001,
